Depth	Year	lakelevel
254	1686.257828	31.5
256	1684.257828	29.25
258	1680.419444	27
260	1678.419444	26.4
262	1674.58106	25.8
264	1672.58106	25.2
266	1668.742676	24.6
268	1666.742676	24
270	1662.904292	23.4
272	1660.904292	22.8
274	1657.065908	22.2
276	1655.065908	21.6
278	1651.227524	21
280	1649.227524	20.4
282	1645.38914	19.8
284	1643.38914	19.2
286	1639.550756	18.6
288	1637.550756	18
290	1633.712372	17.4
292	1631.712372	16.8
294	1627.873988	16.2
296	1625.873988	15.6
298	1622.035604	15
300	1620.035604	14.4
302	1616.19722	13.8
304	1614.19722	13.2
306	1610.358836	12.6
308	1608.358836	12
310	1604.520452	14.5
312	1602.520452	17
314	1598.682068	17
316	1596.682068	17
318	1592.843684	17
320	1590.843684	15.71428571
322	1587.0053	14.42857143
324	1585.0053	13.14285714
326	1581.166916	11.85714286
328	1579.166916	10.57142857
330	1575.328532	9.285714286
332	1573.328532	8
334	1569.490148	8
336	1567.490148	8
338	1563.651764	8
340	1561.651764	8
342	1557.81338	8
344	1555.81338	8
346	1551.974996	8
348	1549.974996	8
350	1546.136612	11.6
352	1544.136612	15.2
354	1540.298228	18.8
356	1538.298228	22.4
358	1534.459844	26
360	1532.459844	26
362	1521.249545	26
364	1519.249545	26
366	1505.582877	26
368	1503.582877	26
370	1489.916209	26
372	1487.916209	26
374	1474.249541	26
376	1472.249541	26
378	1458.582873	22
380	1456.582873	26
382	1442.916205	26
384	1440.916205	26
386	1435.776097	26
388	1433.776097	26
390	1431.477589	26
392	1429.477589	24.66666667
394	1427.179081	23.33333333
396	1425.179081	22
398	1422.880573	20.66666667
400	1420.880573	19.33333333
402	1418.582065	18
404	1416.582065	16.66666667
406	1414.283557	15.33333333
408	1412.283557	14
410	1409.985049	12.66666667
412	1407.985049	11.33333333
414	1405.686541	10
416	1403.686541	10
418	1400.608409	10
420	1398.608409	10
422	1394.229325	10
424	1392.229325	10
426	1387.850241	10
428	1385.850241	10
430	1381.471157	10
432	1379.471157	10
434	1375.092073	10
436	1373.092073	10
438	1368.712989	15
440	1366.712989	20
442	1362.333905	20
444	1360.333905	20
446	1355.954821	20
448	1353.954821	20
450	1349.575737	20
452	1347.575737	20
454	1343.196653	20
456	1341.196653	20
458	1336.817569	20
460	1334.817569	20
462	1330.438485	20
464	1328.438485	18.5
466	1324.059401	17
468	1322.059401	15.5
470	1317.680317	14
472	1315.680317	17
474	1311.301233	20
476	1309.301233	20
480	1302.922149	20
482	1298.543065	20
484	1296.543065	20
486	1292.163981	20
488	1290.163981	20
490	1285.784897	17
492	1283.784897	14
494	1279.886908	15.5
496	1277.886908	17
498	1275.432364	18.5
500	1273.432364	20
502	1270.97782	14.33333333
504	1268.97782	8.666666667
506	1266.523276	3
508	1264.523276	3
510	1262.068732	3
512	1260.068732	3
514	1257.614188	3
516	1255.614188	3
518	1253.159644	3
520	1251.159644	3
522	1248.7051	3
524	1246.7051	3
526	1244.250556	3
528	1242.250556	3
530	1239.796012	3
532	1237.796012	9.5
534	1235.341468	16
536	1233.341468	16
538	1222.979347	16
540	1220.979347	11.66666667
542	1186.896015	7.333333333
544	1184.896015	3
546	1150.812683	3
548	1148.812683	3
550	1114.729351	3
552	1112.729351	3
554	1078.646019	3
556	1076.646019	3
558	1042.562687	3
560	1040.562687	3
562	1011.787635	3
564	1009.787635	3
566	996.939151	3
568	994.939151	3
570	982.090667	3
572	980.090667	7.25
574	967.242183	11.5
578	952.393699	20
580	950.393699	20
582	937.545215	20
584	935.545215	18.33333333
586	922.696731	16.66666667
588	920.696731	15
590	907.848247	13.33333333
592	905.848247	11.66666667
594	892.999763	10
596	890.999763	12
598	886.054273	14
600	884.054273	16
