Depth	Year	Mginv
90.5	1632.6	-20.51
91.5	1627.8	-20.07
92.5	1623	-19.85
93.5	1618.2	-20.1
94.5	1613.5	-20.74
95.5	1608.7	-19.51
96.5	1604	-20.82
97.5	1599.2	-19.9
98.5	1594.5	-20.38
99.5	1589.8	-20.76
100.5	1585.1	-19.9
101.5	1580.4	-20.74
102.5	1575.8	-21.46
103.5	1571.1	-20.21
104.5	1566.5	-19.82
105.5	1561.9	-19.49
106.5	1557.3	-19.6
107.5	1552.7	-20.21
108.5	1548.1	-20.65
109.5	1543.6	-21.46
110.5	1539	-21.4
111.5	1534.5	-21.27
112.5	1530	-21.04
113.5	1525.5	-21.6
114.5	1521.1	-20.79
115.5	1516.7	-20.26
116.5	1512.2	-20.74
117.5	1507.8	-20.15
118.5	1503.5	-19.63
119.5	1499.1	-19.21
120.5	1494.8	-19.38
121.5	1490.5	-19.68
122.5	1486.2	-17.93
123.5	1481.9	-19.88
124.5	1477.6	-19.74
125.5	1473.4	-19.13
126.5	1469.2	-19.24
127.5	1465	-18.99
128.5	1460.8	-18.99
129.5	1456.7	-18.68
130.5	1452.6	-19.35
131.5	1448.5	-18.15
132.5	1444.4	-18.51
133.5	1440.3	-18.54
134.5	1436.3	-18.49
135.5	1432.3	-18.54
136.5	1428.3	-17.51
137.5	1424.3	-17.46
138.5	1420.4	-17.37
139.5	1416.5	-17.1
140.5	1412.6	-16.93
141.5	1408.7	-16.37
142.5	1404.9	-17.46
143.5	1401	-17.26
144.5	1397.2	-17.35
145.5	1393.4	-17.43
146.5	1389.7	-17.54
147.5	1385.9	-17.9
148.5	1382.2	-16.87
149.5	1378.5	-16.85
150.5	1374.8	-16.82
151.5	1371.2	-16.04
152.5	1367.6	-17.71
153.5	1364	-17.43
154.5	1360.4	-17.71
155.5	1356.8	-18.62
156.5	1353.3	-18.93
157.5	1349.8	-18.57
158.5	1346.3	-17.43
159.5	1342.8	-17.29
160.5	1339.3	-16.9
161.5	1335.9	-16.68
162.5	1332.5	-16.87
163.5	1329.1	-16.93
164.5	1325.7	-16.82
165.5	1322.4	-17.43
166.5	1319	-17.93
167.5	1315.7	-18.62
168.5	1312.4	-19.07
169.5	1309.2	-18.6
170.5	1305.9	-19.65
171.5	1302.7	-18.54
172.5	1299.5	-19.65
173.5	1296.3	-19.49
174.5	1293.1	-19.13
175.5	1290	-19.1
176.5	1286.8	-20.01
177.5	1283.7	-19.35
178.5	1280.6	-18.1
179.5	1277.6	-18.04
180.5	1274.5	-17.9
181.5	1271.4	-18.01
182.5	1268.4	-17.82
183.5	1265.4	-17.4
184.5	1262.4	-17.71
185.5	1259.5	-17.62
186.5	1256.5	-16.85
187.5	1253.6	-17.29
188.5	1250.6	-16.96
189.5	1247.7	-17.62
190.5	1244.8	-17.68
191.5	1242	-18.74
192.5	1239.1	-17.99
193.5	1236.3	-18.15
194.5	1233.4	-19.04
195.5	1230.6	-18.49
196.5	1227.8	-19.54
197.5	1225	-19.1
198.5	1222.3	-19.13
199.5	1219.5	-19.35
200.5	1216.8	-20.74
201.5	1214	-20.63
202.5	1211.3	-19.54
203.5	1208.6	-19.71
204.5	1205.9	-21.27
205.5	1203.2	-21.27
206.5	1200.6	-19.79
207.5	1197.9	-19.99
208.5	1195.3	-20.24
209.5	1192.6	-20.35
210.5	1190	-20.18
211.5	1187.4	-21.82
212.5	1184.8	-22.38
213.5	1182.2	-21.54
214.5	1179.6	-21.35
215.5	1177.1	-21.79
216.5	1174.5	-20.43
217.5	1172	-20.51
218.5	1169.4	-20.15
219.5	1166.9	-20.49
220.5	1164.4	-20.43
221.5	1161.9	-20.4
222.5	1159.3	-20.6
223.5	1156.8	-20.65
224.5	1154.4	-20.32
225.5	1151.9	-20.46
226.5	1149.4	-20.79
227.5	1146.9	-20.01
228.5	1144.5	-19.76
229.5	1142	-20.6
230.5	1139.6	-19.79
231.5	1137.1	-19.9
232.5	1134.7	-20.1
233.5	1132.3	-19.32
234.5	1129.9	-18.85
235.5	1127.4	-19.43
236.5	1125	-20.04
237.5	1122.6	-19.93
238.5	1120.2	-19.18
239.5	1117.8	-19.21
240.5	1115.4	-18.26
241.5	1113	-18.88
242.5	1110.7	-19.26
243.5	1108.3	-18.12
244.5	1105.9	-20.74
245.5	1103.5	-20.57
246.5	1101.2	-20.9
247.5	1098.8	-19.35
248.5	1096.4	-19.21
249.5	1094.1	-19.35
250.5	1091.7	-18.96
251.5	1089.4	-20.01
252.5	1087	-20.49
253.5	1084.6	-19.79
254.5	1082.3	-20.15
255.5	1079.9	-20.68
256.5	1077.6	-20.49
257.5	1075.3	-18.6
258.5	1072.9	-18.32
259.5	1070.6	-18.46
260.5	1068.2	-18.54
261.5	1065.9	-18.49
262.5	1063.5	-18.24
263.5	1061.2	-19.68
264.5	1058.9	-20.93
265.5	1056.5	-19.46
266.5	1054.2	-20.4
267.5	1051.8	-21.15
268.5	1049.5	-19.76
269.5	1047.2	-20.65
270.5	1044.8	-20.07
271.5	1042.5	-19.65
272.5	1040.1	-19.88
273.5	1037.8	-20.13
274.5	1035.4	-19.65
275.5	1033.1	-18.82
276.5	1030.7	-18.71
277.5	1028.4	-18.57
278.5	1026	-17.82
279.5	1023.7	-17.49
280.5	1021.3	-16.65
281.5	1019	-16.32
282.5	1016.6	-16.87
283.5	1014.3	-17.43
284.5	1011.9	-17.24
285.5	1009.6	-16.65
286.5	1007.2	-17.71
287.5	1004.8	-19.46
288.5	1002.5	-18.82
289.5	1000.1	-16.93
290.5	997.7	-17.37
291.5	995.3	-18.26
292.5	993	-17.37
293.5	990.6	-16.43
294.5	988.2	-17.37
295.5	985.8	-17.68
296.5	983.4	-17.43
297.5	981.1	-17.76
298.5	978.7	-17.07
299.5	976.3	-19.26
300.5	973.9	-19.49
301.5	971.5	-18.96
302.5	969.1	-19.38
303.5	966.7	-18.65
304.5	964.3	-18.15
305.5	961.9	-17.49
306.5	959.5	-18.26
307.5	957	-17.85
308.5	954.6	-15.29
309.5	952.2	-18.65
310.5	949.8	-18.79
311.5	947.4	-18.54
312.5	944.9	-18.82
313.5	942.5	-17.54
314.5	940.1	-18.93
315.5	937.6	-20.43
316.5	935.2	-19.49
317.5	932.8	-19.18
318.5	930.3	-19.35
319.5	927.9	-19.74
320.5	925.5	-19.74
321.5	923	-19.74
322.5	920.6	-20.5
324.5	915.7	-20.54
327	909.5	-22.02
329.5	903.4	-22.82
332	897.2	-20.17
337	884.9	-21.97
342	872.6	-19.87
347	860.2	-21.77
352	847.9	-18.63
357	835.6	-21.41
362	823.4	-20.36
367	811.2	-20.95
368	808.8	-21.25
373	796.8	-19.65
378	784.8	-20.04
383	773	-19.58
388	761.4	-20.79
393	750	-20.72
398	738.7	-20.66
403	727.7	-20.4
408	716.9	-21.12
413	706.4	-21.35
418	696.2	-22.23
423	686.3	-21.35
428	676.6	-21.48
433	667.3	-21.15
438	658.3	-20.27
443	649.7	-20.14
448	641.4	-21.28
453	633.3	-19.74
458	625.6	-19.02
468	611.1	-20.5
473	604.2	-19.51
478	597.5	-20.1
483	591	-20.92
488	584.6	-20.23
493	578.2	-20.07
498	571.9	-20.3
503	565.4	-16.61
508	558.8	-17.13
513	551.9	-17.75
